Anio,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2007,386616.27,387285.28,398733.54,386028.66,387150.34,400011.76,380482.99,375911.06,391299.89,371055.54,374174.69,384661.96
2008,365203.61,369885.8,380269.89,368381.24,373711.81,390638.16,377534.35,378068.37,403721.89,387382.23,406604.07,440620.97
2009,440498.29,457305.24,473710.18,486588.49,492602.11,511173.39,510802.67,513920.96,533678.18,544493.3,560265.17,569535.36
2010,561748.89,569094.79,586850.73,586075.4,594925.71,609031.98,608166.41,608043.16,620541.07,634469.48,640613.39,649152.53
2011,662069.03,678323.64,691086.37,684671.41,692398.27,710839.62,704199.49,703925.92,713894.71,711903.5,723502.44,743043.16
2012,757750.1,770305.1,781571.15,775287.37,792135.16,810956.18,810292.26,807114.11,823547.01,823458.75,837071.74,889909.39
2013,906535.82,936558.97,950094.44,941753.85,961695.16,964433.37,968218.55,965624.68,974960.79,971533.43,968801.86,977311.94
2014,984244.34,993178.6,1005782.29,998207.35,1011815.11,1019229.96,1012611.26,1016640.96,1026729.04,1021787.04,1027579.07,1039388.25
2015,1039930.05,1044720.44,1050632.43,1036739.44,1044562.17,1055900.81,1043141.35,1052409.25,1065883.55,1060203.03,1070496.39,1070078.97
2016,1072382.61,1078661.33,1092570.82,1078823.38,1084677,1102743.85,1098690.98,1099473.69,1104372.59,1101809.91,1096414.95,1104553.96
2017,1112249.25,1115796.9,1126082.5,1114486.83,1124835.9,1135146.24,1130651.3,1129768.86,1136975.49,1130353.75,1139304.53,1145097.34
2018,1146043.07,1158473.15,1162129.39,1152517.95,1157336.66,1165971.94,1162780.42,1165122.05,1177748.75,1163097.99,1172052.5,1173350.13
2019,1174325.01,1184665.18,1196667.97,1180001.57,1192203.31,1207433.39,1193769.22,1196150.1,1203820.51,1190976.52,1187984.48,1188859.49
2020,1195877.84,1201767.73,1224568.99,1235502.24,1258626.23,1291061.6,1290872.52,1298409.19,1308085.2,1306028.2,1312590.26,1345569.81
2021,1348369.14,1366969.56,1392696.24,1389665.57,1402504.86,1424714.96,1416172.79,1419415.41,1432338.99,1421804.83,1426308.42,1427235.37