Year,Periodo,Primero
1975,Año,25,25
1976,Año,24,94
1977,Año,24,85
1978,Año,24,8
1979,Año,24,78
1980,Año,25,06
1981,Año,25,25
1982,Año,25,43
1983,Año,25,52
1984,Año,25,66
1985,Año,25,79
1986,Año,25,9
1987,Año,26,14
1988,Año,26,25
1989,Año,26,56
1990,Año,26,81
1991,Año,27,16
1992,Año,27,5
1993,Año,27,81
1994,Año,28,12
1995,Año,28,41
1996,Año,28,47
1997,Año,28,7
1998,Año,28,89
1999,Año,28,99
2000,Año,29,09
2001,Año,29,11
2002,Año,29,18
2003,Año,29,25
2004,Año,29,29
2005,Año,29,34
2006,Año,29,32
2007,Año,29,45
2008,Año,29,3
2009,Año,29,6
2010,Año,29,82
2011,Año,30,11
2012,Año,30,25
2013,Año,30,42
2014,Año,30,55
2015,Año,30,69
2016,Año,30,8
2017,Año,30,9
2018,Año,31,02
2019,Año,31,1
2020,Año,31,22
2021,Año,31,54